class_index,class,image_name
965,n07880968,ILSVRC2012_val_00001822.JPEG
467,n02927161,ILSVRC2012_val_00011685.JPEG
186,n02094258,ILSVRC2012_val_00021445.JPEG
181,n02093647,ILSVRC2012_val_00041342.JPEG
697,n03877472,ILSVRC2012_val_00005197.JPEG
608,n03594734,ILSVRC2012_val_00014986.JPEG
853,n04417672,ILSVRC2012_val_00042006.JPEG
881,n04515003,ILSVRC2012_val_00025666.JPEG
460,n02894605,ILSVRC2012_val_00012747.JPEG
207,n02099601,ILSVRC2012_val_00006981.JPEG
790,n04204238,ILSVRC2012_val_00012266.JPEG
20,n01601694,ILSVRC2012_val_00008510.JPEG
732,n03976467,ILSVRC2012_val_00011833.JPEG
390,n02526121,ILSVRC2012_val_00023785.JPEG
253,n02110806,ILSVRC2012_val_00043813.JPEG
669,n03788365,ILSVRC2012_val_00033411.JPEG
126,n01990800,ILSVRC2012_val_00042476.JPEG
185,n02094114,ILSVRC2012_val_00047331.JPEG
209,n02099849,ILSVRC2012_val_00009448.JPEG
14,n01537544,ILSVRC2012_val_00002449.JPEG
362,n02447366,ILSVRC2012_val_00007728.JPEG
793,n04209133,ILSVRC2012_val_00024479.JPEG
874,n04487081,ILSVRC2012_val_00002146.JPEG
564,n03388549,ILSVRC2012_val_00022928.JPEG
387,n02509815,ILSVRC2012_val_00032088.JPEG
564,n03388549,ILSVRC2012_val_00019307.JPEG
17,n01580077,ILSVRC2012_val_00006267.JPEG
604,n03544143,ILSVRC2012_val_00004082.JPEG
887,n04532106,ILSVRC2012_val_00006733.JPEG
600,n03532672,ILSVRC2012_val_00014236.JPEG
621,n03649909,ILSVRC2012_val_00029725.JPEG
528,n03187595,ILSVRC2012_val_00025972.JPEG
110,n01924916,ILSVRC2012_val_00007683.JPEG
388,n02510455,ILSVRC2012_val_00034983.JPEG
112,n01943899,ILSVRC2012_val_00039012.JPEG
28,n01632458,ILSVRC2012_val_00016537.JPEG
951,n07749582,ILSVRC2012_val_00023879.JPEG
537,n03218198,ILSVRC2012_val_00027246.JPEG
82,n01797886,ILSVRC2012_val_00035521.JPEG
191,n02096051,ILSVRC2012_val_00038417.JPEG
732,n03976467,ILSVRC2012_val_00045344.JPEG
367,n02481823,ILSVRC2012_val_00024921.JPEG
478,n02971356,ILSVRC2012_val_00030546.JPEG
927,n07613480,ILSVRC2012_val_00042963.JPEG
940,n07716906,ILSVRC2012_val_00032530.JPEG
117,n01968897,ILSVRC2012_val_00006453.JPEG
470,n02948072,ILSVRC2012_val_00030363.JPEG
15,n01558993,ILSVRC2012_val_00040426.JPEG
329,n02321529,ILSVRC2012_val_00049504.JPEG
854,n04418357,ILSVRC2012_val_00041170.JPEG
591,n03485794,ILSVRC2012_val_00046191.JPEG
935,n07711569,ILSVRC2012_val_00000406.JPEG
644,n03729826,ILSVRC2012_val_00042826.JPEG
365,n02480495,ILSVRC2012_val_00021352.JPEG
159,n02087394,ILSVRC2012_val_00010643.JPEG
791,n04204347,ILSVRC2012_val_00031962.JPEG
324,n02280649,ILSVRC2012_val_00020938.JPEG
579,n03452741,ILSVRC2012_val_00018954.JPEG
746,n04019541,ILSVRC2012_val_00000682.JPEG
245,n02108915,ILSVRC2012_val_00032658.JPEG
640,n03717622,ILSVRC2012_val_00042362.JPEG
708,n03903868,ILSVRC2012_val_00021999.JPEG
344,n02398521,ILSVRC2012_val_00038747.JPEG
322,n02277742,ILSVRC2012_val_00013386.JPEG
845,n04376876,ILSVRC2012_val_00041555.JPEG
591,n03485794,ILSVRC2012_val_00011796.JPEG
950,n07747607,ILSVRC2012_val_00037247.JPEG
752,n04039381,ILSVRC2012_val_00029429.JPEG
854,n04418357,ILSVRC2012_val_00032170.JPEG
927,n07613480,ILSVRC2012_val_00028168.JPEG
813,n04270147,ILSVRC2012_val_00016047.JPEG
986,n12057211,ILSVRC2012_val_00039868.JPEG
221,n02102973,ILSVRC2012_val_00029237.JPEG
773,n04131690,ILSVRC2012_val_00042373.JPEG
903,n04584207,ILSVRC2012_val_00047307.JPEG
155,n02086240,ILSVRC2012_val_00017268.JPEG
146,n02058221,ILSVRC2012_val_00040987.JPEG
804,n04254120,ILSVRC2012_val_00028718.JPEG
108,n01914609,ILSVRC2012_val_00014869.JPEG
747,n04023962,ILSVRC2012_val_00007418.JPEG
905,n04590129,ILSVRC2012_val_00028643.JPEG
993,n13037406,ILSVRC2012_val_00006235.JPEG
90,n01820546,ILSVRC2012_val_00033340.JPEG
340,n02391049,ILSVRC2012_val_00043935.JPEG
37,n01669191,ILSVRC2012_val_00002514.JPEG
247,n02109525,ILSVRC2012_val_00037970.JPEG
642,n03721384,ILSVRC2012_val_00049502.JPEG
316,n02256656,ILSVRC2012_val_00012124.JPEG
175,n02091635,ILSVRC2012_val_00022137.JPEG
802,n04252077,ILSVRC2012_val_00028111.JPEG
554,n03344393,ILSVRC2012_val_00048371.JPEG
820,n04310018,ILSVRC2012_val_00006106.JPEG
224,n02105056,ILSVRC2012_val_00012817.JPEG
815,n04275548,ILSVRC2012_val_00039054.JPEG
964,n07875152,ILSVRC2012_val_00033193.JPEG
375,n02488702,ILSVRC2012_val_00017803.JPEG
267,n02113799,ILSVRC2012_val_00038194.JPEG
738,n03991062,ILSVRC2012_val_00026563.JPEG
332,n02328150,ILSVRC2012_val_00015971.JPEG
113,n01944390,ILSVRC2012_val_00045945.JPEG
531,n03197337,ILSVRC2012_val_00044575.JPEG
203,n02098286,ILSVRC2012_val_00028945.JPEG
15,n01558993,ILSVRC2012_val_00044378.JPEG
310,n02219486,ILSVRC2012_val_00028343.JPEG
27,n01631663,ILSVRC2012_val_00035305.JPEG
747,n04023962,ILSVRC2012_val_00005405.JPEG
327,n02317335,ILSVRC2012_val_00014948.JPEG
