class_index,class,image_name
447,n02841315,ILSVRC2012_val_00040318.JPEG
584,n03476684,ILSVRC2012_val_00025088.JPEG
102,n01872401,ILSVRC2012_val_00017827.JPEG
146,n02058221,ILSVRC2012_val_00035517.JPEG
511,n03100240,ILSVRC2012_val_00016337.JPEG
944,n07718747,ILSVRC2012_val_00049407.JPEG
136,n02017213,ILSVRC2012_val_00010288.JPEG
438,n02815834,ILSVRC2012_val_00004972.JPEG
447,n02841315,ILSVRC2012_val_00021033.JPEG
977,n09421951,ILSVRC2012_val_00033187.JPEG
863,n04458633,ILSVRC2012_val_00030714.JPEG
307,n02177972,ILSVRC2012_val_00010952.JPEG
971,n09229709,ILSVRC2012_val_00014212.JPEG
391,n02536864,ILSVRC2012_val_00011228.JPEG
391,n02536864,ILSVRC2012_val_00032566.JPEG
305,n02172182,ILSVRC2012_val_00000924.JPEG
871,n04483307,ILSVRC2012_val_00012323.JPEG
63,n01748264,ILSVRC2012_val_00045019.JPEG
374,n02488291,ILSVRC2012_val_00009560.JPEG
894,n04550184,ILSVRC2012_val_00017579.JPEG
473,n02951585,ILSVRC2012_val_00009761.JPEG
890,n04540053,ILSVRC2012_val_00044431.JPEG
287,n02127052,ILSVRC2012_val_00034088.JPEG
121,n01981276,ILSVRC2012_val_00014715.JPEG
565,n03393912,ILSVRC2012_val_00020625.JPEG
688,n03857828,ILSVRC2012_val_00026686.JPEG
79,n01784675,ILSVRC2012_val_00025287.JPEG
802,n04252077,ILSVRC2012_val_00037661.JPEG
45,n01692333,ILSVRC2012_val_00012229.JPEG
401,n02672831,ILSVRC2012_val_00016925.JPEG
764,n04090263,ILSVRC2012_val_00045410.JPEG
701,n03888257,ILSVRC2012_val_00023107.JPEG
239,n02107683,ILSVRC2012_val_00027912.JPEG
364,n02457408,ILSVRC2012_val_00020433.JPEG
356,n02441942,ILSVRC2012_val_00019059.JPEG
916,n06359193,ILSVRC2012_val_00034607.JPEG
449,n02859443,ILSVRC2012_val_00007424.JPEG
417,n02782093,ILSVRC2012_val_00022462.JPEG
833,n04347754,ILSVRC2012_val_00004594.JPEG
783,n04153751,ILSVRC2012_val_00012421.JPEG
426,n02794156,ILSVRC2012_val_00032723.JPEG
41,n01685808,ILSVRC2012_val_00039049.JPEG
674,n03794056,ILSVRC2012_val_00005435.JPEG
996,n13052670,ILSVRC2012_val_00022641.JPEG
688,n03857828,ILSVRC2012_val_00028874.JPEG
963,n07873807,ILSVRC2012_val_00008660.JPEG
986,n12057211,ILSVRC2012_val_00022875.JPEG
697,n03877472,ILSVRC2012_val_00040480.JPEG
980,n09472597,ILSVRC2012_val_00002103.JPEG
730,n03967562,ILSVRC2012_val_00038074.JPEG
990,n12768682,ILSVRC2012_val_00016112.JPEG
377,n02490219,ILSVRC2012_val_00010551.JPEG
83,n01798484,ILSVRC2012_val_00039825.JPEG
273,n02115641,ILSVRC2012_val_00030815.JPEG
787,n04192698,ILSVRC2012_val_00032125.JPEG
243,n02108422,ILSVRC2012_val_00041144.JPEG
136,n02017213,ILSVRC2012_val_00048727.JPEG
92,n01828970,ILSVRC2012_val_00032062.JPEG
880,n04509417,ILSVRC2012_val_00046341.JPEG
503,n03062245,ILSVRC2012_val_00037835.JPEG
540,n03240683,ILSVRC2012_val_00025774.JPEG
139,n02025239,ILSVRC2012_val_00036292.JPEG
197,n02097130,ILSVRC2012_val_00013448.JPEG
53,n01728920,ILSVRC2012_val_00026018.JPEG
791,n04204347,ILSVRC2012_val_00025801.JPEG
732,n03976467,ILSVRC2012_val_00011561.JPEG
291,n02129165,ILSVRC2012_val_00026545.JPEG
950,n07747607,ILSVRC2012_val_00014856.JPEG
914,n04612504,ILSVRC2012_val_00021209.JPEG
296,n02134084,ILSVRC2012_val_00010742.JPEG
954,n07753592,ILSVRC2012_val_00020601.JPEG
867,n04467665,ILSVRC2012_val_00016410.JPEG
216,n02101556,ILSVRC2012_val_00001944.JPEG
172,n02091134,ILSVRC2012_val_00004823.JPEG
114,n01945685,ILSVRC2012_val_00048902.JPEG
258,n02111889,ILSVRC2012_val_00038604.JPEG
311,n02226429,ILSVRC2012_val_00042223.JPEG
639,n03710721,ILSVRC2012_val_00009951.JPEG
891,n04542943,ILSVRC2012_val_00028926.JPEG
224,n02105056,ILSVRC2012_val_00048537.JPEG
904,n04589890,ILSVRC2012_val_00028315.JPEG
675,n03796401,ILSVRC2012_val_00018799.JPEG
906,n04591157,ILSVRC2012_val_00001655.JPEG
93,n01829413,ILSVRC2012_val_00005282.JPEG
306,n02174001,ILSVRC2012_val_00023049.JPEG
793,n04209133,ILSVRC2012_val_00042790.JPEG
986,n12057211,ILSVRC2012_val_00046774.JPEG
70,n01770081,ILSVRC2012_val_00021658.JPEG
791,n04204347,ILSVRC2012_val_00021131.JPEG
936,n07714571,ILSVRC2012_val_00015805.JPEG
171,n02091032,ILSVRC2012_val_00049324.JPEG
24,n01622779,ILSVRC2012_val_00006916.JPEG
279,n02120079,ILSVRC2012_val_00031178.JPEG
220,n02102480,ILSVRC2012_val_00005027.JPEG
743,n04005630,ILSVRC2012_val_00027550.JPEG
83,n01798484,ILSVRC2012_val_00031938.JPEG
107,n01910747,ILSVRC2012_val_00047328.JPEG
235,n02106662,ILSVRC2012_val_00004563.JPEG
902,n04579432,ILSVRC2012_val_00025788.JPEG
419,n02786058,ILSVRC2012_val_00024570.JPEG
258,n02111889,ILSVRC2012_val_00030924.JPEG
702,n03888605,ILSVRC2012_val_00035987.JPEG
890,n04540053,ILSVRC2012_val_00019330.JPEG
283,n02123394,ILSVRC2012_val_00010995.JPEG
897,n04554684,ILSVRC2012_val_00016647.JPEG
158,n02087046,ILSVRC2012_val_00039622.JPEG
27,n01631663,ILSVRC2012_val_00022134.JPEG
503,n03062245,ILSVRC2012_val_00047232.JPEG
172,n02091134,ILSVRC2012_val_00023697.JPEG
261,n02112350,ILSVRC2012_val_00016074.JPEG
779,n04146614,ILSVRC2012_val_00023836.JPEG
681,n03832673,ILSVRC2012_val_00005040.JPEG
599,n03530642,ILSVRC2012_val_00022002.JPEG
130,n02007558,ILSVRC2012_val_00008887.JPEG
476,n02966193,ILSVRC2012_val_00030310.JPEG
98,n01855032,ILSVRC2012_val_00034749.JPEG
288,n02128385,ILSVRC2012_val_00021212.JPEG
770,n04120489,ILSVRC2012_val_00039805.JPEG
429,n02799071,ILSVRC2012_val_00046377.JPEG
755,n04044716,ILSVRC2012_val_00043638.JPEG
753,n04040759,ILSVRC2012_val_00004913.JPEG
512,n03109150,ILSVRC2012_val_00049188.JPEG
472,n02951358,ILSVRC2012_val_00043133.JPEG
590,n03485407,ILSVRC2012_val_00000149.JPEG
383,n02497673,ILSVRC2012_val_00037951.JPEG
927,n07613480,ILSVRC2012_val_00037294.JPEG
343,n02397096,ILSVRC2012_val_00040039.JPEG
974,n09288635,ILSVRC2012_val_00011567.JPEG
262,n02112706,ILSVRC2012_val_00016964.JPEG
305,n02172182,ILSVRC2012_val_00046782.JPEG
6,n01498041,ILSVRC2012_val_00036157.JPEG
812,n04266014,ILSVRC2012_val_00000559.JPEG
368,n02483362,ILSVRC2012_val_00011281.JPEG
636,n03709823,ILSVRC2012_val_00027741.JPEG
796,n04229816,ILSVRC2012_val_00005359.JPEG
148,n02071294,ILSVRC2012_val_00040408.JPEG
666,n03786901,ILSVRC2012_val_00048332.JPEG
406,n02699494,ILSVRC2012_val_00030020.JPEG
142,n02033041,ILSVRC2012_val_00041054.JPEG
244,n02108551,ILSVRC2012_val_00023737.JPEG
91,n01824575,ILSVRC2012_val_00046710.JPEG
365,n02480495,ILSVRC2012_val_00047222.JPEG
895,n04552348,ILSVRC2012_val_00046500.JPEG
121,n01981276,ILSVRC2012_val_00026843.JPEG
854,n04418357,ILSVRC2012_val_00017503.JPEG
669,n03788365,ILSVRC2012_val_00013059.JPEG
154,n02086079,ILSVRC2012_val_00009576.JPEG
332,n02328150,ILSVRC2012_val_00000981.JPEG
913,n04606251,ILSVRC2012_val_00043800.JPEG
125,n01986214,ILSVRC2012_val_00036320.JPEG
192,n02096177,ILSVRC2012_val_00026417.JPEG
176,n02091831,ILSVRC2012_val_00035609.JPEG
674,n03794056,ILSVRC2012_val_00049431.JPEG
42,n01687978,ILSVRC2012_val_00037510.JPEG
616,n03627232,ILSVRC2012_val_00020421.JPEG
763,n04086273,ILSVRC2012_val_00002604.JPEG
292,n02129604,ILSVRC2012_val_00015897.JPEG
781,n04149813,ILSVRC2012_val_00006066.JPEG
15,n01558993,ILSVRC2012_val_00014362.JPEG
393,n02607072,ILSVRC2012_val_00024315.JPEG
459,n02892767,ILSVRC2012_val_00022601.JPEG
704,n03891332,ILSVRC2012_val_00018258.JPEG
96,n01843383,ILSVRC2012_val_00023390.JPEG
872,n04485082,ILSVRC2012_val_00042551.JPEG
726,n03954731,ILSVRC2012_val_00017626.JPEG
27,n01631663,ILSVRC2012_val_00012441.JPEG
586,n03478589,ILSVRC2012_val_00041158.JPEG
362,n02447366,ILSVRC2012_val_00044114.JPEG
437,n02814860,ILSVRC2012_val_00016685.JPEG
31,n01644373,ILSVRC2012_val_00033702.JPEG
297,n02134418,ILSVRC2012_val_00024825.JPEG
11,n01531178,ILSVRC2012_val_00035833.JPEG
913,n04606251,ILSVRC2012_val_00028404.JPEG
287,n02127052,ILSVRC2012_val_00006056.JPEG
471,n02950826,ILSVRC2012_val_00006467.JPEG
218,n02102177,ILSVRC2012_val_00012948.JPEG
391,n02536864,ILSVRC2012_val_00006292.JPEG
45,n01692333,ILSVRC2012_val_00037417.JPEG
148,n02071294,ILSVRC2012_val_00002166.JPEG
143,n02037110,ILSVRC2012_val_00014991.JPEG
833,n04347754,ILSVRC2012_val_00006653.JPEG
66,n01753488,ILSVRC2012_val_00036982.JPEG
800,n04243546,ILSVRC2012_val_00022468.JPEG
102,n01872401,ILSVRC2012_val_00034301.JPEG
649,n03743016,ILSVRC2012_val_00043128.JPEG
29,n01632777,ILSVRC2012_val_00045924.JPEG
379,n02492660,ILSVRC2012_val_00009511.JPEG
186,n02094258,ILSVRC2012_val_00018809.JPEG
740,n03995372,ILSVRC2012_val_00021444.JPEG
134,n02012849,ILSVRC2012_val_00022463.JPEG
846,n04380533,ILSVRC2012_val_00045288.JPEG
796,n04229816,ILSVRC2012_val_00005577.JPEG
66,n01753488,ILSVRC2012_val_00048041.JPEG
258,n02111889,ILSVRC2012_val_00041480.JPEG
951,n07749582,ILSVRC2012_val_00044342.JPEG
420,n02787622,ILSVRC2012_val_00014733.JPEG
633,n03692522,ILSVRC2012_val_00012843.JPEG
604,n03544143,ILSVRC2012_val_00021537.JPEG
357,n02442845,ILSVRC2012_val_00049545.JPEG
194,n02096437,ILSVRC2012_val_00012706.JPEG
108,n01914609,ILSVRC2012_val_00009151.JPEG
123,n01984695,ILSVRC2012_val_00008144.JPEG
99,n01855672,ILSVRC2012_val_00006626.JPEG
149,n02074367,ILSVRC2012_val_00032779.JPEG
739,n03992509,ILSVRC2012_val_00049913.JPEG
220,n02102480,ILSVRC2012_val_00041870.JPEG
449,n02859443,ILSVRC2012_val_00005220.JPEG
562,n03388043,ILSVRC2012_val_00027467.JPEG
410,n02727426,ILSVRC2012_val_00025646.JPEG
800,n04243546,ILSVRC2012_val_00033812.JPEG
994,n13040303,ILSVRC2012_val_00019555.JPEG
659,n03775546,ILSVRC2012_val_00028647.JPEG
943,n07718472,ILSVRC2012_val_00025582.JPEG
327,n02317335,ILSVRC2012_val_00025161.JPEG
69,n01768244,ILSVRC2012_val_00035606.JPEG
977,n09421951,ILSVRC2012_val_00000145.JPEG
385,n02504013,ILSVRC2012_val_00011247.JPEG
296,n02134084,ILSVRC2012_val_00012997.JPEG
338,n02364673,ILSVRC2012_val_00035452.JPEG
211,n02100583,ILSVRC2012_val_00035055.JPEG
798,n04238763,ILSVRC2012_val_00045657.JPEG
627,n03670208,ILSVRC2012_val_00033993.JPEG
191,n02096051,ILSVRC2012_val_00019265.JPEG
752,n04039381,ILSVRC2012_val_00009337.JPEG
920,n06874185,ILSVRC2012_val_00027647.JPEG
463,n02909870,ILSVRC2012_val_00027739.JPEG
333,n02342885,ILSVRC2012_val_00010974.JPEG
142,n02033041,ILSVRC2012_val_00023352.JPEG
144,n02051845,ILSVRC2012_val_00022335.JPEG
980,n09472597,ILSVRC2012_val_00025936.JPEG
398,n02666196,ILSVRC2012_val_00047691.JPEG
856,n04428191,ILSVRC2012_val_00022577.JPEG
154,n02086079,ILSVRC2012_val_00036703.JPEG
29,n01632777,ILSVRC2012_val_00048148.JPEG
934,n07697537,ILSVRC2012_val_00023336.JPEG
475,n02965783,ILSVRC2012_val_00003527.JPEG
16,n01560419,ILSVRC2012_val_00026362.JPEG
215,n02101388,ILSVRC2012_val_00022908.JPEG
780,n04147183,ILSVRC2012_val_00015627.JPEG
642,n03721384,ILSVRC2012_val_00029458.JPEG
480,n02977058,ILSVRC2012_val_00020725.JPEG
994,n13040303,ILSVRC2012_val_00000058.JPEG
514,n03124043,ILSVRC2012_val_00009953.JPEG
361,n02445715,ILSVRC2012_val_00009067.JPEG
167,n02089973,ILSVRC2012_val_00048007.JPEG
749,n04033901,ILSVRC2012_val_00028495.JPEG
384,n02500267,ILSVRC2012_val_00007243.JPEG
477,n02966687,ILSVRC2012_val_00027825.JPEG
293,n02130308,ILSVRC2012_val_00041645.JPEG
284,n02123597,ILSVRC2012_val_00043051.JPEG
739,n03992509,ILSVRC2012_val_00048809.JPEG
294,n02132136,ILSVRC2012_val_00004578.JPEG
476,n02966193,ILSVRC2012_val_00012851.JPEG
932,n07695742,ILSVRC2012_val_00014687.JPEG
755,n04044716,ILSVRC2012_val_00012476.JPEG
221,n02102973,ILSVRC2012_val_00018530.JPEG
284,n02123597,ILSVRC2012_val_00045829.JPEG
927,n07613480,ILSVRC2012_val_00029332.JPEG
739,n03992509,ILSVRC2012_val_00003555.JPEG
654,n03769881,ILSVRC2012_val_00011715.JPEG
